sample_name	animal
SRR10245277	Wildebeest_3
SRR10245278	Pig_1
SRR10245279	Eland_1
SRR10245280	Gazelle_2
SRR10245281	Dikdik_22
SRR10245282	Zebra_5
SRR10245283	Buffalo_4
SRR10245284	Pig_3
SRR10245285	Zebra_4
SRR10245286	Wildebeest_2
SRR10245287	Hippo_2
SRR10245288	Impala_8
SRR10245289	Impala_7
SRR10245290	Hare_3
SRR10245291	Buffalo_3
SRR10245292	Cane Rat_1
SRR10245293	Pig_2
SRR10245294	Gazelle_1
SRR10245295	Zebra_3
SRR10245296	Cattle_9
SRR10245297	Wildebeest_1
SRR10245298	Impala_6
SRR10245299	Impala_5
SRR10245300	Impala_4
SRR10245301	Wildebeest_16
SRR10245302	Dikdik_21
SRR10245303	Dikdik_20
SRR10245304	Impala_3
SRR10245305	Dikdik_19
SRR10245306	Wildebeest_15
SRR10245307	Topi_1
SRR10245308	Zebra_2
SRR10245309	Wildebeest_14
SRR10245310	Wildebeest_13
SRR10245311	Wildebeest_12
SRR10245312	Impala_2
SRR10245313	Hare_2
SRR10245314	Cattle_8
SRR10245315	Cattle_7
SRR10245316	Cattle_6
SRR10245317	Cattle_5
SRR10245318	Cattle_4
SRR10245319	Zebra_1
SRR10245320	Cattle_3
SRR10245321	Cattle_2
SRR10245322	Cattle_1
SRR10245323	Wildebeest_11
SRR10245324	Dikdik_18
SRR10245325	Dikdik_17
SRR10245326	Dikdik_16
SRR10245327	Dikdik_15
SRR10245328	Dikdik_14
SRR10245329	Dikdik_13
SRR10245330	Impala_1
SRR10245331	Dikdik_12
SRR10245332	Dikdik_11
SRR10245333	Dikdik_10
SRR10245334	Dikdik_9
SRR10245335	Dikdik_8
SRR10245336	Dikdik_7
SRR10245337	Dikdik_6
SRR10245338	Dikdik_5
SRR10245339	Dikdik_4
SRR10245340	Buffalo_2
SRR10245341	Hippo_1
SRR10245342	Dikdik_3
SRR10245343	Dikdik_2
SRR10245344	Wildebeest_10
SRR10245345	Wildebeest_9
SRR10245346	Wildebeest_8
SRR10245347	Buffalo_1
SRR10245348	Wildebeest_7
SRR10245349	Wildebeest_6
SRR10245350	Wildebeest_5
SRR10245351	Wildebeest_4
SRR10245352	Hare_1
SRR10245353	Dikdik_1
SRR7450706	Wildebeest_6
SRR7450707	Wildebeest_2
SRR7450708	Buffalo_9
SRR7450709	Wildebeest_7
SRR7450710	Wildebeest_25
SRR7450711	Wildebeest_21
SRR7450712	Wildebeest_22
SRR7450713	Topi_2
SRR7450714	Wildebeest_9
SRR7450715	Wildebeest_24
SRR7450716	Wildebeest_20
SRR7450717	Wildebeest_10
SRR7450718	Sheep
SRR7450719	Buffalo_15
SRR7450720	Wildebeest_26
SRR7450721	Giraffe
SRR7450722	Eland_4
SRR7450723	Wildebeest_27
SRR7450724	Eland_3
SRR7450725	Wildebeest_8
SRR7450726	Eland_2
SRR7450727	Buffalo_5
SRR7450728	Buffalo_8
SRR7450729	Wildebeest_5
SRR7450730	Eland_1
SRR7450731	Buffalo_4
SRR7450732	Wildebeest_4
SRR7450733	Buffalo_3
SRR7450734	Wildebeest_3
SRR7450735	Topi_1
SRR7450736	Wildebeest_1
SRR7450737	Wildebeest_17
SRR7450738	Buffalo_12
SRR7450739	Buffalo_6
SRR7450740	Buffalo_10
SRR7450741	Buffalo_11
SRR7450742	Wildebeest_15
SRR7450743	Wildebeest_16
SRR7450744	Porcupine
SRR7450745	Wildebeest_14
SRR7450746	Buffalo_7
SRR7450747	Wildebeest_11
SRR7450748	Gazelle
SRR7450749	Buffalo_2
SRR7450750	Buffalo_1
SRR7450751	Rabbit
SRR7450752	Buffalo_14
SRR7450753	Warthog
SRR7450754	Wildebeest_18
SRR7450755	Wildebeest_19
SRR7450756	Buffalo_16
SRR7450757	Wildebeest_23
SRR7450758	Zebra
SRR7450759	Buffalo_13
SRR7450760	Wildebeest_12
SRR7450761	Wildebeest_13
